Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
82,M Azharuddin (INDIA),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,622+,77+
118,Saleem Malik (PAK),1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19,514+,34+
20,DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13,768+,53+
60,JC Buttler (ENG),2012-2021,148,123,23,3872,150,38.72,3263,118.66,9,20,13,323,125
71,MJ Clarke (AUS),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53
106,DA Miller (SA),2010-2021,137,118,35,3367,139,40.56,3339,100.83,5,16,8,247,92
14,BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,1042,133
92,A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103
51,SD Hope (WI),2016-2021,83,78,10,3599,170,52.92,4813,74.77,10,19,4,283,52
102,TWM Latham (NZ),2012-2021,102,94,11,2824,137,34.02,3373,83.72,5,16,7,239,36
